MONTH,YEAR,REGION,Area,"Number of
Reservoirs","Total Capacity
 
 1000 AF","Hist Ave
 
 1000 AF","Previous year 
 
 1000 AF","Current year 
 
 1000 AF","% 
 
Ave","% 
 
Cap"
4,2013,Central,CENTRAL COAST,6,970.3,711.3,728.4,496.3,70,51
4,2013,South,SOUTH COAST,29,1973.8,1524.2,1431.2,1239.2,81,63
4,2013,North,SACRAMENTO,43,16001.7,13043.1,14915.8,13106.5,100,82
4,2013,Central,SAN JOAQUIN,34,11440.4,7773,8940.5,7273.7,94,64
4,2013,South,TULARE LAKE,6,2087.4,1062,1291.4,762,72,37
4,2013,North,NORTH LAHONTAN,5,1072,585.7,818.1,589.3,101,55
4,2013,South,SOUTH LAHONTAN,8,402.5,261.5,304.4,253.8,97,63
5,2013,North,NORTH COAST,6,3096.3,2550,2764.6,2367.2,93,76
5,2013,North,SAN FRANCISCO BAY,17,688,515.3,483.2,440.9,86,64
5,2013,Central,CENTRAL COAST,6,970.3,693.9,697,455.5,66,47
5,2013,South,SOUTH COAST,29,1973.8,1514.8,1445,1221.3,81,62
5,2013,North,SACRAMENTO,43,16001.7,13519.5,14856.2,12380.5,92,77
5,2013,Central,SAN JOAQUIN,34,11440.4,8303.4,8785.3,7138.2,86,62
5,2013,South,TULARE LAKE,6,2087.4,1365.9,1467.4,866.1,63,41
5,2013,North,NORTH LAHONTAN,5,1072,654,849.3,610.8,93,57
5,2013,South,SOUTH LAHONTAN,8,402.5,269.6,311.3,258.9,96,64
6,2013,North,NORTH COAST,6,3096.3,2500.7,2627.2,2153.4,86,70
6,2013,North,SAN FRANCISCO BAY,17,688,494.3,469.5,431.7,87,63
6,2013,Central,CENTRAL COAST,6,970.3,662.2,654.6,410.6,62,42
6,2013,South,SOUTH COAST,29,1973.8,1472.8,1412.1,1191,81,60
6,2013,North,SACRAMENTO,43,16001.7,13059,13776.3,11349,87,71
6,2013,Central,SAN JOAQUIN,34,11440.4,8301.2,7905.1,6525.1,79,57
6,2013,South,TULARE LAKE,6,2087.4,1360.7,1126.2,679.3,50,33
6,2013,North,NORTH LAHONTAN,5,1072,683.4,804.2,578.3,85,54
6,2013,South,SOUTH LAHONTAN,8,402.5,297.8,294.4,260.1,87,65
